训练日志
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:80
	经验回放类大小:20000
	一次采样数：1024
第1次更新, 当前小蛇平均长度为:3.40, 小蛇平均存活步数为:22.77, 探索率为:0.30
第2次更新, 当前小蛇平均长度为:3.51, 小蛇平均存活步数为:22.05, 探索率为:0.29
第3次更新, 当前小蛇平均长度为:3.44, 小蛇平均存活步数为:27.30, 探索率为:0.29
第4次更新, 当前小蛇平均长度为:3.29, 小蛇平均存活步数为:21.55, 探索率为:0.29
第5次更新, 当前小蛇平均长度为:3.35, 小蛇平均存活步数为:21.54, 探索率为:0.29
第6次更新, 当前小蛇平均长度为:3.48, 小蛇平均存活步数为:25.13, 探索率为:0.28
第7次更新, 当前小蛇平均长度为:3.40, 小蛇平均存活步数为:21.59, 探索率为:0.28
第8次更新, 当前小蛇平均长度为:3.38, 小蛇平均存活步数为:17.21, 探索率为:0.28
第9次更新, 当前小蛇平均长度为:3.44, 小蛇平均存活步数为:20.72, 探索率为:0.27
第10次更新, 当前小蛇平均长度为:3.41, 小蛇平均存活步数为:23.33, 探索率为:0.27
第11次更新, 当前小蛇平均长度为:3.46, 小蛇平均存活步数为:21.07, 探索率为:0.27
第12次更新, 当前小蛇平均长度为:3.46, 小蛇平均存活步数为:23.53, 探索率为:0.27
第13次更新, 当前小蛇平均长度为:3.44, 小蛇平均存活步数为:19.66, 探索率为:0.26

训练日志
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:40
	经验回放类大小:50000
	一次采样数：1024
第0局, 当前小蛇平均长度为:3.46, 小蛇平均存活步数为:11.56, 探索率为:0.30
第0局, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:11.83, 探索率为:0.29
第0局, 当前小蛇平均长度为:3.63, 小蛇平均存活步数为:11.43, 探索率为:0.29
第1局, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:11.89, 探索率为:0.29
第1局, 当前小蛇平均长度为:3.74, 小蛇平均存活步数为:12.97, 探索率为:0.29
第1局, 当前小蛇平均长度为:3.71, 小蛇平均存活步数为:12.88, 探索率为:0.28
第1局, 当前小蛇平均长度为:3.74, 小蛇平均存活步数为:13.80, 探索率为:0.28
第2局, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:13.22, 探索率为:0.28
第2局, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:13.91, 探索率为:0.27
第2局, 当前小蛇平均长度为:3.78, 小蛇平均存活步数为:14.61, 探索率为:0.27
第2局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:12.94, 探索率为:0.27
第3局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:12.66, 探索率为:0.27
第3局, 当前小蛇平均长度为:3.71, 小蛇平均存活步数为:14.01, 探索率为:0.26
第3局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:15.34, 探索率为:0.26
第3局, 当前小蛇平均长度为:3.70, 小蛇平均存活步数为:13.86, 探索率为:0.26
第4局, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:14.89, 探索率为:0.26
第4局, 当前小蛇平均长度为:3.78, 小蛇平均存活步数为:13.22, 探索率为:0.25
第4局, 当前小蛇平均长度为:3.79, 小蛇平均存活步数为:13.88, 探索率为:0.25
第4局, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:14.60, 探索率为:0.25
第5局, 当前小蛇平均长度为:3.79, 小蛇平均存活步数为:12.44, 探索率为:0.25
第5局, 当前小蛇平均长度为:3.90, 小蛇平均存活步数为:14.74, 探索率为:0.24
第5局, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:17.00, 探索率为:0.24
第5局, 当前小蛇平均长度为:3.70, 小蛇平均存活步数为:14.58, 探索率为:0.24
第6局, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:15.55, 探索率为:0.24
第6局, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:15.93, 探索率为:0.23
第6局, 当前小蛇平均长度为:3.76, 小蛇平均存活步数为:19.60, 探索率为:0.23
第6局, 当前小蛇平均长度为:3.90, 小蛇平均存活步数为:17.49, 探索率为:0.23
第7局, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:20.93, 探索率为:0.23
第7局, 当前小蛇平均长度为:3.82, 小蛇平均存活步数为:16.76, 探索率为:0.22
第7局, 当前小蛇平均长度为:3.79, 小蛇平均存活步数为:18.00, 探索率为:0.22
第7局, 当前小蛇平均长度为:3.78, 小蛇平均存活步数为:17.03, 探索率为:0.22
第8局, 当前小蛇平均长度为:3.86, 小蛇平均存活步数为:16.18, 探索率为:0.22
第8局, 当前小蛇平均长度为:3.86, 小蛇平均存活步数为:14.69, 探索率为:0.22
第8局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:17.41, 探索率为:0.21
第8局, 当前小蛇平均长度为:3.76, 小蛇平均存活步数为:14.97, 探索率为:0.21
第9局, 当前小蛇平均长度为:3.83, 小蛇平均存活步数为:17.24, 探索率为:0.21
第9局, 当前小蛇平均长度为:3.93, 小蛇平均存活步数为:17.43, 探索率为:0.21
第9局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:16.98, 探索率为:0.20
第9局, 当前小蛇平均长度为:3.79, 小蛇平均存活步数为:15.85, 探索率为:0.20
第10局, 当前小蛇平均长度为:3.87, 小蛇平均存活步数为:16.26, 探索率为:0.20
第10局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:18.23, 探索率为:0.20
第10局, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:15.90, 探索率为:0.20
第10局, 当前小蛇平均长度为:3.88, 小蛇平均存活步数为:16.75, 探索率为:0.19
第11局, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:16.21, 探索率为:0.19
第11局, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:16.07, 探索率为:0.19
第11局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:16.64, 探索率为:0.19
第11局, 当前小蛇平均长度为:3.79, 小蛇平均存活步数为:19.93, 探索率为:0.19
第12局, 当前小蛇平均长度为:3.97, 小蛇平均存活步数为:16.80, 探索率为:0.19
第12局, 当前小蛇平均长度为:3.85, 小蛇平均存活步数为:15.35, 探索率为:0.18
第12局, 当前小蛇平均长度为:3.90, 小蛇平均存活步数为:16.77, 探索率为:0.18
第12局, 当前小蛇平均长度为:3.85, 小蛇平均存活步数为:15.68, 探索率为:0.18
第13局, 当前小蛇平均长度为:3.97, 小蛇平均存活步数为:15.88, 探索率为:0.18
第13局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:15.55, 探索率为:0.18
第13局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:15.01, 探索率为:0.17
第13局, 当前小蛇平均长度为:3.93, 小蛇平均存活步数为:14.96, 探索率为:0.17
第14局, 当前小蛇平均长度为:4.01, 小蛇平均存活步数为:15.91, 探索率为:0.17
第14局, 当前小蛇平均长度为:3.84, 小蛇平均存活步数为:16.04, 探索率为:0.17
第14局, 当前小蛇平均长度为:3.85, 小蛇平均存活步数为:17.55, 探索率为:0.17
第14局, 当前小蛇平均长度为:3.88, 小蛇平均存活步数为:17.57, 探索率为:0.17
第15局, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:15.29, 探索率为:0.16
第15局, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:17.38, 探索率为:0.16
第15局, 当前小蛇平均长度为:3.98, 小蛇平均存活步数为:18.88, 探索率为:0.16
第15局, 当前小蛇平均长度为:3.93, 小蛇平均存活步数为:14.47, 探索率为:0.16
第16局, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:17.00, 探索率为:0.16
第16局, 当前小蛇平均长度为:3.90, 小蛇平均存活步数为:16.25, 探索率为:0.16
第16局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:18.27, 探索率为:0.15
第16局, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:16.74, 探索率为:0.15
第17局, 当前小蛇平均长度为:3.93, 小蛇平均存活步数为:14.61, 探索率为:0.15
第17局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:15.78, 探索率为:0.15
第17局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:17.07, 探索率为:0.15
第17局, 当前小蛇平均长度为:3.93, 小蛇平均存活步数为:14.32, 探索率为:0.15
第18局, 当前小蛇平均长度为:4.06, 小蛇平均存活步数为:17.86, 探索率为:0.15
第18局, 当前小蛇平均长度为:3.98, 小蛇平均存活步数为:14.62, 探索率为:0.14
第18局, 当前小蛇平均长度为:4.11, 小蛇平均存活步数为:15.60, 探索率为:0.14
第18局, 当前小蛇平均长度为:4.06, 小蛇平均存活步数为:16.73, 探索率为:0.14
第19局, 当前小蛇平均长度为:4.12, 小蛇平均存活步数为:17.39, 探索率为:0.14
第19局, 当前小蛇平均长度为:3.99, 小蛇平均存活步数为:12.66, 探索率为:0.14
第19局, 当前小蛇平均长度为:4.10, 小蛇平均存活步数为:14.83, 探索率为:0.14
第19局, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:16.33, 探索率为:0.14
第20局, 当前小蛇平均长度为:4.12, 小蛇平均存活步数为:15.55, 探索率为:0.13
第20局, 当前小蛇平均长度为:4.08, 小蛇平均存活步数为:15.95, 探索率为:0.13
第20局, 当前小蛇平均长度为:4.14, 小蛇平均存活步数为:14.06, 探索率为:0.13
第20局, 当前小蛇平均长度为:4.16, 小蛇平均存活步数为:17.89, 探索率为:0.13
第21局, 当前小蛇平均长度为:4.17, 小蛇平均存活步数为:16.18, 探索率为:0.13
第21局, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:18.62, 探索率为:0.13
第21局, 当前小蛇平均长度为:3.97, 小蛇平均存活步数为:15.34, 探索率为:0.13
第21局, 当前小蛇平均长度为:3.97, 小蛇平均存活步数为:15.42, 探索率为:0.13
第22局, 当前小蛇平均长度为:3.88, 小蛇平均存活步数为:16.44, 探索率为:0.12
第22局, 当前小蛇平均长度为:4.03, 小蛇平均存活步数为:17.50, 探索率为:0.12
第22局, 当前小蛇平均长度为:4.03, 小蛇平均存活步数为:15.73, 探索率为:0.12
第22局, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:15.72, 探索率为:0.12
第23局, 当前小蛇平均长度为:3.98, 小蛇平均存活步数为:16.80, 探索率为:0.12
第23局, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:15.55, 探索率为:0.12
第23局, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:15.19, 探索率为:0.12
第23局, 当前小蛇平均长度为:4.18, 小蛇平均存活步数为:17.11, 探索率为:0.12
第24局, 当前小蛇平均长度为:4.05, 小蛇平均存活步数为:15.50, 探索率为:0.11
第24局, 当前小蛇平均长度为:4.21, 小蛇平均存活步数为:17.64, 探索率为:0.11

训练日志
本次训练参数：
	paras:200
	学习率lr:0.001
	max_steps:40
	经验回放类大小:50000
	一次采样数：1024
第1局, 当前小蛇平均长度为:3.54, 小蛇平均存活步数为:12.04, 探索率为:0.30
第2局, 当前小蛇平均长度为:3.62, 小蛇平均存活步数为:11.62, 探索率为:0.29
第3局, 当前小蛇平均长度为:3.60, 小蛇平均存活步数为:11.29, 探索率为:0.29
第4局, 当前小蛇平均长度为:3.59, 小蛇平均存活步数为:12.35, 探索率为:0.29
第5局, 当前小蛇平均长度为:3.58, 小蛇平均存活步数为:12.46, 探索率为:0.29
第6局, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:13.24, 探索率为:0.28
第7局, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:14.89, 探索率为:0.28
第8局, 当前小蛇平均长度为:3.87, 小蛇平均存活步数为:14.53, 探索率为:0.28
第9局, 当前小蛇平均长度为:3.82, 小蛇平均存活步数为:14.74, 探索率为:0.27
第10局, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:15.23, 探索率为:0.27
第11局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:13.37, 探索率为:0.27
第12局, 当前小蛇平均长度为:3.69, 小蛇平均存活步数为:14.10, 探索率为:0.27
第13局, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:13.62, 探索率为:0.26
第14局, 当前小蛇平均长度为:3.73, 小蛇平均存活步数为:13.93, 探索率为:0.26
第15局, 当前小蛇平均长度为:3.76, 小蛇平均存活步数为:14.76, 探索率为:0.26
第16局, 当前小蛇平均长度为:3.80, 小蛇平均存活步数为:14.33, 探索率为:0.26
第17局, 当前小蛇平均长度为:3.88, 小蛇平均存活步数为:17.23, 探索率为:0.25
第18局, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:14.80, 探索率为:0.25
第19局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:15.29, 探索率为:0.25
第20局, 当前小蛇平均长度为:3.80, 小蛇平均存活步数为:14.52, 探索率为:0.25
第21局, 当前小蛇平均长度为:3.92, 小蛇平均存活步数为:16.80, 探索率为:0.24
