第1次更新, 当前小蛇平均长度为:3.22, 小蛇平均存活步数为:7.55
第2次更新, 当前小蛇平均长度为:3.26, 小蛇平均存活步数为:7.81
第3次更新, 当前小蛇平均长度为:3.31, 小蛇平均存活步数为:8.27
第4次更新, 当前小蛇平均长度为:3.37, 小蛇平均存活步数为:8.28
第5次更新, 当前小蛇平均长度为:3.38, 小蛇平均存活步数为:8.72
第6次更新, 当前小蛇平均长度为:3.43, 小蛇平均存活步数为:9.12
第7次更新, 当前小蛇平均长度为:3.51, 小蛇平均存活步数为:9.16
第8次更新, 当前小蛇平均长度为:3.55, 小蛇平均存活步数为:9.82
第9次更新, 当前小蛇平均长度为:3.56, 小蛇平均存活步数为:10.23
第10次更新, 当前小蛇平均长度为:3.63, 小蛇平均存活步数为:11.33
第11次更新, 当前小蛇平均长度为:3.65, 小蛇平均存活步数为:11.40
第12次更新, 当前小蛇平均长度为:3.68, 小蛇平均存活步数为:12.11
第13次更新, 当前小蛇平均长度为:3.69, 小蛇平均存活步数为:12.46
第14次更新, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:12.61
第15次更新, 当前小蛇平均长度为:3.74, 小蛇平均存活步数为:12.96
第16次更新, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:15.26
第17次更新, 当前小蛇平均长度为:3.76, 小蛇平均存活步数为:14.45
第18次更新, 当前小蛇平均长度为:3.80, 小蛇平均存活步数为:14.45
第19次更新, 当前小蛇平均长度为:3.78, 小蛇平均存活步数为:15.26
第20次更新, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:15.76
第21次更新, 当前小蛇平均长度为:3.83, 小蛇平均存活步数为:17.45
第22次更新, 当前小蛇平均长度为:3.84, 小蛇平均存活步数为:17.64
第23次更新, 当前小蛇平均长度为:3.81, 小蛇平均存活步数为:16.33
第24次更新, 当前小蛇平均长度为:3.82, 小蛇平均存活步数为:20.18
第25次更新, 当前小蛇平均长度为:3.89, 小蛇平均存活步数为:16.91
第26次更新, 当前小蛇平均长度为:3.84, 小蛇平均存活步数为:17.41
第27次更新, 当前小蛇平均长度为:3.83, 小蛇平均存活步数为:17.78
第28次更新, 当前小蛇平均长度为:3.86, 小蛇平均存活步数为:17.35
第29次更新, 当前小蛇平均长度为:3.80, 小蛇平均存活步数为:16.09
第30次更新, 当前小蛇平均长度为:3.77, 小蛇平均存活步数为:16.93
第31次更新, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:18.32
第32次更新, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:23.30
第33次更新, 当前小蛇平均长度为:3.86, 小蛇平均存活步数为:18.10
第34次更新, 当前小蛇平均长度为:3.84, 小蛇平均存活步数为:19.75
第35次更新, 当前小蛇平均长度为:3.89, 小蛇平均存活步数为:16.23
第36次更新, 当前小蛇平均长度为:3.91, 小蛇平均存活步数为:19.29
第37次更新, 当前小蛇平均长度为:3.95, 小蛇平均存活步数为:18.31
第38次更新, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:17.25
第39次更新, 当前小蛇平均长度为:3.89, 小蛇平均存活步数为:18.09
第40次更新, 当前小蛇平均长度为:3.89, 小蛇平均存活步数为:17.69
第41次更新, 当前小蛇平均长度为:3.90, 小蛇平均存活步数为:17.58
第42次更新, 当前小蛇平均长度为:4.03, 小蛇平均存活步数为:22.19
第43次更新, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:18.76
第44次更新, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:19.90
第45次更新, 当前小蛇平均长度为:4.02, 小蛇平均存活步数为:26.68
第46次更新, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:20.26
第47次更新, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:19.42
