第1次更新, 当前小蛇平均长度为:3.33, 小蛇平均存活步数为:9.97
第2次更新, 当前小蛇平均长度为:3.55, 小蛇平均存活步数为:21.11
第3次更新, 当前小蛇平均长度为:3.62, 小蛇平均存活步数为:37.05
第4次更新, 当前小蛇平均长度为:3.36, 小蛇平均存活步数为:11.53
第5次更新, 当前小蛇平均长度为:3.52, 小蛇平均存活步数为:18.71
第6次更新, 当前小蛇平均长度为:3.71, 小蛇平均存活步数为:36.59
第7次更新, 当前小蛇平均长度为:3.68, 小蛇平均存活步数为:37.05
第8次更新, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:37.35
第9次更新, 当前小蛇平均长度为:3.62, 小蛇平均存活步数为:37.21
第10次更新, 当前小蛇平均长度为:3.66, 小蛇平均存活步数为:37.08
第11次更新, 当前小蛇平均长度为:3.67, 小蛇平均存活步数为:37.01
# 去掉了经验回放
第12次更新, 当前小蛇平均长度为:3.75, 小蛇平均存活步数为:37.62
第13次更新, 当前小蛇平均长度为:3.76, 小蛇平均存活步数为:37.47
第14次更新, 当前小蛇平均长度为:3.94, 小蛇平均存活步数为:37.37
第15次更新, 当前小蛇平均长度为:4.24, 小蛇平均存活步数为:37.26
第16次更新, 当前小蛇平均长度为:4.44, 小蛇平均存活步数为:37.28
第17次更新, 当前小蛇平均长度为:4.70, 小蛇平均存活步数为:37.22
第18次更新, 当前小蛇平均长度为:4.93, 小蛇平均存活步数为:37.14
第19次更新, 当前小蛇平均长度为:5.42, 小蛇平均存活步数为:37.01
第20次更新, 当前小蛇平均长度为:5.56, 小蛇平均存活步数为:37.00
第21次更新, 当前小蛇平均长度为:5.67, 小蛇平均存活步数为:37.00
第22次更新, 当前小蛇平均长度为:5.70, 小蛇平均存活步数为:37.00
第23次更新, 当前小蛇平均长度为:5.82, 小蛇平均存活步数为:37.00
第24次更新, 当前小蛇平均长度为:5.88, 小蛇平均存活步数为:34.41
第25次更新, 当前小蛇平均长度为:5.72, 小蛇平均存活步数为:30.61
第26次更新, 当前小蛇平均长度为:5.80, 小蛇平均存活步数为:33.59
第27次更新, 当前小蛇平均长度为:5.74, 小蛇平均存活步数为:28.39
第28次更新, 当前小蛇平均长度为:5.71, 小蛇平均存活步数为:28.67
第29次更新, 当前小蛇平均长度为:5.61, 小蛇平均存活步数为:25.04
第30次更新, 当前小蛇平均长度为:5.64, 小蛇平均存活步数为:26.33
第31次更新, 当前小蛇平均长度为:5.59, 小蛇平均存活步数为:26.06
第32次更新, 当前小蛇平均长度为:5.39, 小蛇平均存活步数为:23.43
第33次更新, 当前小蛇平均长度为:5.42, 小蛇平均存活步数为:22.27
第34次更新, 当前小蛇平均长度为:5.45, 小蛇平均存活步数为:21.55
第35次更新, 当前小蛇平均长度为:5.45, 小蛇平均存活步数为:21.06
第36次更新, 当前小蛇平均长度为:5.35, 小蛇平均存活步数为:20.80
第37次更新, 当前小蛇平均长度为:5.32, 小蛇平均存活步数为:20.16
第38次更新, 当前小蛇平均长度为:5.33, 小蛇平均存活步数为:20.01
第39次更新, 当前小蛇平均长度为:5.25, 小蛇平均存活步数为:19.62
第40次更新, 当前小蛇平均长度为:5.08, 小蛇平均存活步数为:18.05
第41次更新, 当前小蛇平均长度为:4.87, 小蛇平均存活步数为:15.84
第42次更新, 当前小蛇平均长度为:4.82, 小蛇平均存活步数为:15.51
第43次更新, 当前小蛇平均长度为:4.49, 小蛇平均存活步数为:12.84
第44次更新, 当前小蛇平均长度为:4.79, 小蛇平均存活步数为:14.90
第45次更新, 当前小蛇平均长度为:4.62, 小蛇平均存活步数为:13.48
第46次更新, 当前小蛇平均长度为:4.74, 小蛇平均存活步数为:14.26
第47次更新, 当前小蛇平均长度为:4.83, 小蛇平均存活步数为:15.21
第48次更新, 当前小蛇平均长度为:5.14, 小蛇平均存活步数为:16.35
第49次更新, 当前小蛇平均长度为:5.17, 小蛇平均存活步数为:17.03
第50次更新, 当前小蛇平均长度为:5.16, 小蛇平均存活步数为:16.50
第51次更新, 当前小蛇平均长度为:4.97, 小蛇平均存活步数为:14.81
第52次更新, 当前小蛇平均长度为:4.99, 小蛇平均存活步数为:15.40
第53次更新, 当前小蛇平均长度为:5.17, 小蛇平均存活步数为:16.40
第54次更新, 当前小蛇平均长度为:5.31, 小蛇平均存活步数为:16.81
第55次更新, 当前小蛇平均长度为:5.17, 小蛇平均存活步数为:15.89
第56次更新, 当前小蛇平均长度为:5.27, 小蛇平均存活步数为:16.31
第57次更新, 当前小蛇平均长度为:5.18, 小蛇平均存活步数为:15.91
第58次更新, 当前小蛇平均长度为:5.22, 小蛇平均存活步数为:15.68
第59次更新, 当前小蛇平均长度为:5.38, 小蛇平均存活步数为:16.50
第60次更新, 当前小蛇平均长度为:5.27, 小蛇平均存活步数为:16.35
第61次更新, 当前小蛇平均长度为:4.92, 小蛇平均存活步数为:14.00
第62次更新, 当前小蛇平均长度为:5.49, 小蛇平均存活步数为:17.00
第63次更新, 当前小蛇平均长度为:5.61, 小蛇平均存活步数为:17.48
第64次更新, 当前小蛇平均长度为:5.17, 小蛇平均存活步数为:14.86
第65次更新, 当前小蛇平均长度为:5.09, 小蛇平均存活步数为:14.54
第66次更新, 当前小蛇平均长度为:5.08, 小蛇平均存活步数为:14.43
第67次更新, 当前小蛇平均长度为:5.02, 小蛇平均存活步数为:13.41
第68次更新, 当前小蛇平均长度为:5.29, 小蛇平均存活步数为:15.01
第69次更新, 当前小蛇平均长度为:4.98, 小蛇平均存活步数为:13.72
第70次更新, 当前小蛇平均长度为:5.17, 小蛇平均存活步数为:14.60
第71次更新, 当前小蛇平均长度为:5.17, 小蛇平均存活步数为:14.27
第72次更新, 当前小蛇平均长度为:5.40, 小蛇平均存活步数为:15.70
第73次更新, 当前小蛇平均长度为:5.35, 小蛇平均存活步数为:14.85
第74次更新, 当前小蛇平均长度为:5.28, 小蛇平均存活步数为:14.63
第75次更新, 当前小蛇平均长度为:5.43, 小蛇平均存活步数为:15.29
第76次更新, 当前小蛇平均长度为:5.27, 小蛇平均存活步数为:14.56
第77次更新, 当前小蛇平均长度为:5.08, 小蛇平均存活步数为:13.45
第78次更新, 当前小蛇平均长度为:5.25, 小蛇平均存活步数为:14.48
第79次更新, 当前小蛇平均长度为:5.19, 小蛇平均存活步数为:14.58
第80次更新, 当前小蛇平均长度为:5.09, 小蛇平均存活步数为:13.53
第81次更新, 当前小蛇平均长度为:5.32, 小蛇平均存活步数为:14.98
