第1次更新, 当前小蛇平均长度为:3.88, 小蛇平均存活步数为:19.66
第2次更新, 当前小蛇平均长度为:4.11, 小蛇平均存活步数为:40.02
第3次更新, 当前小蛇平均长度为:4.09, 小蛇平均存活步数为:40.02
第4次更新, 当前小蛇平均长度为:4.21, 小蛇平均存活步数为:40.01
第5次更新, 当前小蛇平均长度为:4.05, 小蛇平均存活步数为:40.02
第6次更新, 当前小蛇平均长度为:4.09, 小蛇平均存活步数为:40.09
第7次更新, 当前小蛇平均长度为:4.16, 小蛇平均存活步数为:40.05
第8次更新, 当前小蛇平均长度为:4.24, 小蛇平均存活步数为:40.01
第9次更新, 当前小蛇平均长度为:4.40, 小蛇平均存活步数为:40.01
第10次更新, 当前小蛇平均长度为:4.14, 小蛇平均存活步数为:40.02
第11次更新, 当前小蛇平均长度为:4.37, 小蛇平均存活步数为:40.01
第12次更新, 当前小蛇平均长度为:4.20, 小蛇平均存活步数为:40.04
第13次更新, 当前小蛇平均长度为:4.54, 小蛇平均存活步数为:40.01
第14次更新, 当前小蛇平均长度为:4.04, 小蛇平均存活步数为:40.09
第15次更新, 当前小蛇平均长度为:4.00, 小蛇平均存活步数为:40.06
第16次更新, 当前小蛇平均长度为:4.26, 小蛇平均存活步数为:40.10
第17次更新, 当前小蛇平均长度为:4.21, 小蛇平均存活步数为:40.03
第18次更新, 当前小蛇平均长度为:4.20, 小蛇平均存活步数为:40.09
第19次更新, 当前小蛇平均长度为:4.39, 小蛇平均存活步数为:40.16
第20次更新, 当前小蛇平均长度为:4.26, 小蛇平均存活步数为:25.11
第21次更新, 当前小蛇平均长度为:3.96, 小蛇平均存活步数为:25.11
第22次更新, 当前小蛇平均长度为:4.09, 小蛇平均存活步数为:25.20
第23次更新, 当前小蛇平均长度为:4.25, 小蛇平均存活步数为:25.23
第24次更新, 当前小蛇平均长度为:4.21, 小蛇平均存活步数为:25.23
第25次更新, 当前小蛇平均长度为:4.15, 小蛇平均存活步数为:25.21
第26次更新, 当前小蛇平均长度为:4.13, 小蛇平均存活步数为:25.23
第27次更新, 当前小蛇平均长度为:4.21, 小蛇平均存活步数为:25.02
第28次更新, 当前小蛇平均长度为:4.24, 小蛇平均存活步数为:25.14
第29次更新, 当前小蛇平均长度为:4.32, 小蛇平均存活步数为:25.16
第30次更新, 当前小蛇平均长度为:4.41, 小蛇平均存活步数为:25.11
第31次更新, 当前小蛇平均长度为:4.46, 小蛇平均存活步数为:25.30
第32次更新, 当前小蛇平均长度为:4.33, 小蛇平均存活步数为:25.14
第33次更新, 当前小蛇平均长度为:4.47, 小蛇平均存活步数为:25.27
第34次更新, 当前小蛇平均长度为:4.42, 小蛇平均存活步数为:25.26
第35次更新, 当前小蛇平均长度为:4.33, 小蛇平均存活步数为:25.27
第36次更新, 当前小蛇平均长度为:4.38, 小蛇平均存活步数为:25.20
第37次更新, 当前小蛇平均长度为:4.38, 小蛇平均存活步数为:25.07
第38次更新, 当前小蛇平均长度为:4.49, 小蛇平均存活步数为:25.36
第39次更新, 当前小蛇平均长度为:4.26, 小蛇平均存活步数为:25.00
第40次更新, 当前小蛇平均长度为:4.61, 小蛇平均存活步数为:25.36
第41次更新, 当前小蛇平均长度为:4.43, 小蛇平均存活步数为:25.14
第42次更新, 当前小蛇平均长度为:4.46, 小蛇平均存活步数为:25.19
第43次更新, 当前小蛇平均长度为:4.57, 小蛇平均存活步数为:25.14
第44次更新, 当前小蛇平均长度为:4.55, 小蛇平均存活步数为:25.15
第45次更新, 当前小蛇平均长度为:4.49, 小蛇平均存活步数为:25.22
第46次更新, 当前小蛇平均长度为:4.65, 小蛇平均存活步数为:25.32
第47次更新, 当前小蛇平均长度为:4.59, 小蛇平均存活步数为:25.20
第48次更新, 当前小蛇平均长度为:4.42, 小蛇平均存活步数为:25.14
第49次更新, 当前小蛇平均长度为:4.63, 小蛇平均存活步数为:25.22
第50次更新, 当前小蛇平均长度为:4.65, 小蛇平均存活步数为:25.23
第51次更新, 当前小蛇平均长度为:4.51, 小蛇平均存活步数为:25.04
第52次更新, 当前小蛇平均长度为:4.70, 小蛇平均存活步数为:25.18
第53次更新, 当前小蛇平均长度为:4.54, 小蛇平均存活步数为:25.04
第54次更新, 当前小蛇平均长度为:4.95, 小蛇平均存活步数为:25.21
第55次更新, 当前小蛇平均长度为:4.90, 小蛇平均存活步数为:25.05
