第1次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:7.58
第2次更新, 当前小蛇平均长度为:3.22, 小蛇平均存活步数为:6.35
第3次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:6.46
第4次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:6.46
第5次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:6.32
第6次更新, 当前小蛇平均长度为:3.19, 小蛇平均存活步数为:5.62
第7次更新, 当前小蛇平均长度为:3.22, 小蛇平均存活步数为:5.16
第8次更新, 当前小蛇平均长度为:3.17, 小蛇平均存活步数为:5.10
第9次更新, 当前小蛇平均长度为:3.17, 小蛇平均存活步数为:5.00
第10次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:4.79
第11次更新, 当前小蛇平均长度为:3.19, 小蛇平均存活步数为:4.72
第12次更新, 当前小蛇平均长度为:3.19, 小蛇平均存活步数为:4.64
第13次更新, 当前小蛇平均长度为:3.19, 小蛇平均存活步数为:4.62
第14次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:4.55
第15次更新, 当前小蛇平均长度为:3.17, 小蛇平均存活步数为:4.87
第16次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:4.55
第17次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:4.81
第18次更新, 当前小蛇平均长度为:3.17, 小蛇平均存活步数为:4.58
第19次更新, 当前小蛇平均长度为:3.20, 小蛇平均存活步数为:4.66
第20次更新, 当前小蛇平均长度为:3.21, 小蛇平均存活步数为:5.02
第21次更新, 当前小蛇平均长度为:3.21, 小蛇平均存活步数为:4.90
第22次更新, 当前小蛇平均长度为:3.19, 小蛇平均存活步数为:4.65
第23次更新, 当前小蛇平均长度为:3.23, 小蛇平均存活步数为:4.75
第24次更新, 当前小蛇平均长度为:3.25, 小蛇平均存活步数为:4.74
第25次更新, 当前小蛇平均长度为:3.23, 小蛇平均存活步数为:4.59
第26次更新, 当前小蛇平均长度为:3.23, 小蛇平均存活步数为:4.52
第27次更新, 当前小蛇平均长度为:3.21, 小蛇平均存活步数为:4.40
第28次更新, 当前小蛇平均长度为:3.23, 小蛇平均存活步数为:4.42
第29次更新, 当前小蛇平均长度为:3.21, 小蛇平均存活步数为:4.62
第30次更新, 当前小蛇平均长度为:3.22, 小蛇平均存活步数为:4.82
第31次更新, 当前小蛇平均长度为:3.26, 小蛇平均存活步数为:4.99
第32次更新, 当前小蛇平均长度为:3.25, 小蛇平均存活步数为:4.85
第33次更新, 当前小蛇平均长度为:3.25, 小蛇平均存活步数为:4.60
第34次更新, 当前小蛇平均长度为:3.24, 小蛇平均存活步数为:4.54
第35次更新, 当前小蛇平均长度为:3.23, 小蛇平均存活步数为:4.87
第36次更新, 当前小蛇平均长度为:3.26, 小蛇平均存活步数为:5.33
第37次更新, 当前小蛇平均长度为:3.26, 小蛇平均存活步数为:5.20
第38次更新, 当前小蛇平均长度为:3.28, 小蛇平均存活步数为:5.27
第39次更新, 当前小蛇平均长度为:3.27, 小蛇平均存活步数为:5.20
第40次更新, 当前小蛇平均长度为:3.28, 小蛇平均存活步数为:5.23
第41次更新, 当前小蛇平均长度为:3.29, 小蛇平均存活步数为:5.12
第42次更新, 当前小蛇平均长度为:3.27, 小蛇平均存活步数为:5.20
第43次更新, 当前小蛇平均长度为:3.27, 小蛇平均存活步数为:5.36
第44次更新, 当前小蛇平均长度为:3.31, 小蛇平均存活步数为:5.37
第45次更新, 当前小蛇平均长度为:3.31, 小蛇平均存活步数为:5.44
第46次更新, 当前小蛇平均长度为:3.31, 小蛇平均存活步数为:5.66
第47次更新, 当前小蛇平均长度为:3.29, 小蛇平均存活步数为:5.72
第48次更新, 当前小蛇平均长度为:3.29, 小蛇平均存活步数为:5.54
第49次更新, 当前小蛇平均长度为:3.27, 小蛇平均存活步数为:5.39
第50次更新, 当前小蛇平均长度为:3.25, 小蛇平均存活步数为:5.47
第51次更新, 当前小蛇平均长度为:3.32, 小蛇平均存活步数为:5.73
第52次更新, 当前小蛇平均长度为:3.31, 小蛇平均存活步数为:5.80
第53次更新, 当前小蛇平均长度为:3.30, 小蛇平均存活步数为:6.15
第54次更新, 当前小蛇平均长度为:3.28, 小蛇平均存活步数为:6.12
第55次更新, 当前小蛇平均长度为:3.32, 小蛇平均存活步数为:5.95
第56次更新, 当前小蛇平均长度为:3.32, 小蛇平均存活步数为:6.34
第57次更新, 当前小蛇平均长度为:3.32, 小蛇平均存活步数为:6.25
第58次更新, 当前小蛇平均长度为:3.31, 小蛇平均存活步数为:6.17
第59次更新, 当前小蛇平均长度为:3.31, 小蛇平均存活步数为:6.09
第60次更新, 当前小蛇平均长度为:3.33, 小蛇平均存活步数为:6.47
第61次更新, 当前小蛇平均长度为:3.31, 小蛇平均存活步数为:6.39
第62次更新, 当前小蛇平均长度为:3.32, 小蛇平均存活步数为:6.29
第63次更新, 当前小蛇平均长度为:3.33, 小蛇平均存活步数为:6.59
第64次更新, 当前小蛇平均长度为:3.35, 小蛇平均存活步数为:6.73
第65次更新, 当前小蛇平均长度为:3.33, 小蛇平均存活步数为:6.68
第66次更新, 当前小蛇平均长度为:3.35, 小蛇平均存活步数为:6.60
第67次更新, 当前小蛇平均长度为:3.35, 小蛇平均存活步数为:6.66
第68次更新, 当前小蛇平均长度为:3.37, 小蛇平均存活步数为:7.00
第69次更新, 当前小蛇平均长度为:3.36, 小蛇平均存活步数为:7.39
第70次更新, 当前小蛇平均长度为:3.38, 小蛇平均存活步数为:7.39
第71次更新, 当前小蛇平均长度为:3.37, 小蛇平均存活步数为:7.08
第72次更新, 当前小蛇平均长度为:3.36, 小蛇平均存活步数为:7.19
第73次更新, 当前小蛇平均长度为:3.40, 小蛇平均存活步数为:7.15
第74次更新, 当前小蛇平均长度为:3.38, 小蛇平均存活步数为:7.25
第75次更新, 当前小蛇平均长度为:3.36, 小蛇平均存活步数为:7.71
第76次更新, 当前小蛇平均长度为:3.41, 小蛇平均存活步数为:8.13
第77次更新, 当前小蛇平均长度为:3.35, 小蛇平均存活步数为:8.42
第78次更新, 当前小蛇平均长度为:3.37, 小蛇平均存活步数为:7.88
第79次更新, 当前小蛇平均长度为:3.41, 小蛇平均存活步数为:8.90
第80次更新, 当前小蛇平均长度为:3.38, 小蛇平均存活步数为:8.73
第81次更新, 当前小蛇平均长度为:3.37, 小蛇平均存活步数为:8.28
第82次更新, 当前小蛇平均长度为:3.41, 小蛇平均存活步数为:8.11
第83次更新, 当前小蛇平均长度为:3.41, 小蛇平均存活步数为:8.29
第84次更新, 当前小蛇平均长度为:3.42, 小蛇平均存活步数为:8.05
第85次更新, 当前小蛇平均长度为:3.40, 小蛇平均存活步数为:8.52
第86次更新, 当前小蛇平均长度为:3.45, 小蛇平均存活步数为:8.93
第87次更新, 当前小蛇平均长度为:3.42, 小蛇平均存活步数为:8.71
第88次更新, 当前小蛇平均长度为:3.44, 小蛇平均存活步数为:8.77
第89次更新, 当前小蛇平均长度为:3.43, 小蛇平均存活步数为:8.93
第90次更新, 当前小蛇平均长度为:3.45, 小蛇平均存活步数为:8.48
第91次更新, 当前小蛇平均长度为:3.41, 小蛇平均存活步数为:8.99
第92次更新, 当前小蛇平均长度为:3.47, 小蛇平均存活步数为:9.41
第93次更新, 当前小蛇平均长度为:3.46, 小蛇平均存活步数为:9.55
第94次更新, 当前小蛇平均长度为:3.42, 小蛇平均存活步数为:10.57
第95次更新, 当前小蛇平均长度为:3.49, 小蛇平均存活步数为:10.46
第96次更新, 当前小蛇平均长度为:3.44, 小蛇平均存活步数为:10.88
第97次更新, 当前小蛇平均长度为:3.49, 小蛇平均存活步数为:11.32
第98次更新, 当前小蛇平均长度为:3.49, 小蛇平均存活步数为:11.70
第99次更新, 当前小蛇平均长度为:3.50, 小蛇平均存活步数为:12.26
第100次更新, 当前小蛇平均长度为:3.53, 小蛇平均存活步数为:12.06
第101次更新, 当前小蛇平均长度为:3.50, 小蛇平均存活步数为:14.03
第102次更新, 当前小蛇平均长度为:3.49, 小蛇平均存活步数为:13.42
第103次更新, 当前小蛇平均长度为:3.50, 小蛇平均存活步数为:14.87
第104次更新, 当前小蛇平均长度为:3.53, 小蛇平均存活步数为:15.01
第105次更新, 当前小蛇平均长度为:3.52, 小蛇平均存活步数为:16.41
第106次更新, 当前小蛇平均长度为:3.50, 小蛇平均存活步数为:16.10
第107次更新, 当前小蛇平均长度为:3.55, 小蛇平均存活步数为:18.50
第108次更新, 当前小蛇平均长度为:3.54, 小蛇平均存活步数为:18.55
第109次更新, 当前小蛇平均长度为:3.51, 小蛇平均存活步数为:20.15
第110次更新, 当前小蛇平均长度为:3.53, 小蛇平均存活步数为:23.59
第111次更新, 当前小蛇平均长度为:3.53, 小蛇平均存活步数为:27.66
第112次更新, 当前小蛇平均长度为:3.56, 小蛇平均存活步数为:28.77
第113次更新, 当前小蛇平均长度为:3.53, 小蛇平均存活步数为:36.31
第114次更新, 当前小蛇平均长度为:3.51, 小蛇平均存活步数为:37.03
